ID_Cliente,Età,Durata_Abbonamento,Tariffa_Mensile,Dati_Consumati,Servizio_Clienti_Contatti,Churn
1001,47,2.0,39.931663660489626,21.93335269265792,6,No
1002,37,17.0,39.64137176535127,33.42223786561355,0,No
1003,49,33.0,75.0139653806002,12.856451050105871,3,No
1004,62,9.0,85.76988619070869,89.1622007932496,8,No
1005,36,43.0,88.87008510582966,59.765652901850814,0,No
1006,-15,48.0,70.26025482071533,68.23112959530447,3,No
1007,63,39.0,40.090766842473265,79.12795262212649,5,Sì
1008,51,42.0,16.670057335893503,50.34577769397667,5,No
1009,32,26.0,72.16175327419494,9.605108520654946,7,Sì
1010,48,50.0,54.6623399788644,54.17354764003623,0,No
1011,33,25.0,9999.0,59.097270684067034,6,No
1012,33,24.0,82.49835080757887,74.79850794424867,0,Sì
1013,43,13.0,18.885798584492107,43.73429507673826,6,No
1014,11,60.0,49.40000834326873,13.630449976760811,2,No
1015,14,7.0,10.898291581393526,29.093814674073723,7,No
1016,31,57.0,47.4828513595301,36.945147343464875,2,No
1017,24,36.0,14.494262054546988,64.94580689182851,0,No
1018,44,45.0,19.495433301445754,57.50705216222228,7,No
1019,26,20.0,19.39209974216839,36.25357586388678,2,No
1020,18,65.0,61.92682416928509,98.66500963050498,1,Sì
1021,61,,69.67359034123386,60.97170711633183,0,No
1022,36,16.0,56.65950120777277,24.485452381863453,2,Sì
1023,41,14.0,86.96380387796334,11.07646478941997,1,No
1024,18,15.0,39.97964636189633,16.133054779248873,1,No
1025,31,66.0,32.84696690254886,25.349815110066306,5,Sì
1026,41,32.0,79.47793025515682,16.90745595269601,0,No
1027,22,63.0,27.87766708155621,19.47013538107927,1,No
1028,45,51.0,87.0478031552489,29.22442170069086,5,Sì
1029,30,25.0,10.962357975185308,18.163985934180726,2,No
1030,35,58.0,87.58030613661111,89.77977703801609,3,No
1031,30,63.0,13.44279295604609,8.943140820502578,0,Sì
1032,67,62.0,81.28144909584569,52.92662756745521,7,No
1033,39,22.0,52.20608872690399,41.62928587197649,6,No
1034,24,58.0,89.42718368954402,98.25548307395204,6,No
1035,52,58.0,15.89372517883191,12.091851314637182,2,No
1036,21,49.0,54.29834275210566,40.38770430552842,9,No
1037,43,52.0,87.53420284952792,96.97757289426151,9,No
1038,10,42.0,51.83782753361191,86.68520546350405,2,No
1039,20,70.0,60.341891050821005,81.89013502397871,1,No
1040,42,15.0,65.64989511876936,26.532379877449042,0,No
1041,51,54.0,46.35328518142186,17.917871151616517,6,No
1042,42,60.0,60.19464640672508,67.19567877251866,6,Sì
1043,38,8.0,56.73514495384802,93.008222923631,1,No
1044,35,53.0,82.08264083927911,56.11952640837905,6,Sì
1045,17,60.0,13.62571042731663,57.58965625752008,7,Sì
1046,29,5.0,32.467055167378426,28.717930272368132,0,Sì
1047,33,68.0,86.0229187261247,77.17980038600176,8,No
1048,55,6.0,81.2111027112733,19.517331107194813,6,No
1049,45,47.0,46.44254022285704,33.04424440402013,2,No
1050,13,55.0,59.60060782412294,43.11820742302526,7,Sì
1051,44,,32.180494638490615,51.253427489761044,6,No
1052,34,52.0,25.039692777900903,24.998563509092943,7,No
1053,29,16.0,47.08587239519857,12.36884564918115,5,No
1054,49,13.0,38.25817824208423,61.45138420172162,8,No
1055,55,30.0,56.68248894806977,29.57442477078532,4,No
1056,53,19.0,16.208770957198787,58.54258392083862,2,No
1057,27,17.0,87.94158461329332,16.28190881214603,2,No
1058,35,63.0,88.88685955836823,48.63287008362693,0,Sì
1059,44,19.0,65.84293712157961,53.726353822607,7,Sì
1060,54,58.0,52.877709307529635,6.130530145420264,1,No
1061,32,55.0,34.75220930290622,34.32382354119814,2,Sì
1062,37,62.0,75.09360157655588,14.30705301695845,7,No
1063,23,23.0,64.76849380431034,7.274122076804007,7,No
1064,22,9.0,22.999355147591302,99.00606300660458,3,No
1065,52,12.0,82.86417475950739,32.913030652497575,3,No
1066,60,1.0,75.79297943385352,81.17757013960885,4,No
1067,38,58.0,85.97399306335392,26.20942482161262,5,No
1068,55,1.0,68.0475606710688,68.468769500169,4,No
1069,45,34.0,59.063215674863194,76.26255812907897,6,No
1070,30,48.0,43.44944290324951,59.96823532017658,1,No
1071,45,1.0,84.60827866832106,47.68604266646568,6,No
1072,63,16.0,79.27511116003267,41.77225050057959,9,No
1073,39,61.0,13.607493608495153,35.53795838775653,6,No
1074,63,64.0,12.09935795978016,93.02338528053475,0,No
1075,0,63.0,40.10706935024397,83.23132137098519,6,No
1076,52,69.0,74.83426646254662,96.53766415598474,4,No
1077,41,22.0,88.97209034519555,13.305425125068927,2,No
1078,35,67.0,22.023351288282257,73.35588004516079,2,Sì
1079,41,26.0,57.52045722817081,93.89570522528274,3,Sì
1080,10,16.0,40.461268530481725,18.942073550400355,1,No
1081,36,51.0,87.58315182516826,7.583130469310972,1,No
1082,45,57.0,77.35951385085669,74.37094427971584,0,No
1083,62,29.0,77.05629637689103,57.87283820481128,4,Sì
1084,32,69.0,47.48545278359762,84.34104889906894,3,Sì
1085,27,47.0,43.17556018701322,14.83746528600266,9,Sì
1086,32,62.0,31.862565754456497,79.73146387412913,1,No
1087,53,69.0,14.50003973207417,20.96110468472671,2,No
1088,44,16.0,79.16779010040425,17.201938343704747,6,No
1089,32,48.0,75.0220807304062,17.262313995168302,6,No
1090,47,39.0,89.96741386289044,81.64289730290683,3,Sì
1091,41,33.0,89.72094696591243,66.85452484892382,4,No
1092,54,23.0,54.4245364482102,52.783477052142814,4,No
1093,29,10.0,71.50899321444084,36.52421792822675,5,Sì
1094,35,69.0,85.57125839059424,87.84285354049771,8,No
1095,34,34.0,77.96179125419292,39.852065634840905,1,No
1096,18,52.0,29.777848139455813,81.84334450768613,4,No
1097,44,10.0,46.033530824807485,44.474355948451624,2,No
1098,43,19.0,20.3227532121196,38.31749851306585,3,No
1099,40,58.0,86.31408218069778,46.805298781291036,9,Sì
1100,36,1.0,58.483970756070406,30.836409542250067,5,No
1101,18,69.0,28.28142444027702,75.01332863744886,7,Sì
1102,33,4.0,63.72605475246854,50.769318619155435,0,No
1103,34,16.0,59.44025923663167,23.989056819534913,9,No
1104,27,24.0,38.64301744262724,90.05788275418227,7,No
1105,37,2.0,19.074607375970324,39.00523091594793,6,No
1106,46,32.0,63.71585564742397,54.811733250284874,0,Sì
1107,68,24.0,51.61461607230347,90.74073898549015,1,Sì
1108,42,12.0,71.77547133885115,62.799561595485216,2,Sì
1109,43,50.0,51.60308008895947,12.572906030128044,0,Sì
1110,38,35.0,78.1645200254832,94.04338023773404,8,No
1111,11,33.0,54.14254710195885,63.14309725407037,7,No
1112,39,33.0,54.865037722830905,34.15565585105153,1,Sì
1113,40,61.0,80.1222882126676,14.787935193675338,8,No
1114,76,51.0,42.26862929699177,79.6084937377593,6,No
1115,37,43.0,20.71121827605126,62.38720283692284,8,No
1116,44,12.0,12.292614105067118,53.81264810565583,5,No
1117,39,67.0,70.40098045388952,89.49536572204481,5,Sì
1118,22,65.0,59.61476410827718,79.07112391122854,3,No
1119,57,33.0,66.31638144793789,16.015813093542366,9,No
1120,51,40.0,27.02713292071286,31.860484711759273,9,No
1121,51,43.0,20.89971804694158,25.60042484163211,1,Sì
1122,26,44.0,11.153573253430555,74.65068296469502,6,No
1123,61,29.0,38.03700470452776,4.319711038842159,4,Sì
1124,18,13.0,57.18341494837065,57.41907880226034,5,Sì
1125,48,12.0,41.369523607978586,76.48340988832837,1,No
1126,72,46.0,44.98799376189833,87.79979803941319,4,No
1127,25,2.0,82.32269555949986,34.86609312287484,9,No
1128,31,35.0,37.85043736186403,82.30447316252928,3,Sì
1129,41,8.0,51.10915913278487,11.952541958565515,8,No
1130,32,26.0,72.68224101929144,84.7987768817173,5,No
1131,16,34.0,41.713422585701615,13.62137757086626,1,Sì
1132,41,7.0,59.75693601822988,40.331441765476356,0,No
1133,24,68.0,78.97909669973961,79.93224121217581,4,No
1134,47,58.0,85.95164989261137,15.841825307528604,8,No
1135,26,29.0,21.755878474323033,23.695888128031505,5,No
1136,63,36.0,84.11701001291955,72.50300427091356,9,No
1137,28,21.0,49.35930344636306,72.28361711806136,6,No
1138,35,36.0,30.649551063916668,64.47361565564444,4,Sì
1139,52,10.0,46.720860499060905,69.7008960022429,9,No
1140,21,24.0,88.39260602283817,54.729719891412024,5,No
1141,43,64.0,49.39944751942957,25.928106831788323,4,No
1142,59,49.0,36.29012882300066,35.22390335688802,8,No
1143,15,36.0,60.662068345338064,18.978173963341142,5,No
1144,42,24.0,29.20164950225545,90.93660557202921,7,Sì
1145,43,23.0,16.059066248693114,58.75578768184592,1,Sì
1146,51,62.0,20.300377752851936,40.684290259600346,8,No
1147,21,37.0,20.233667116621795,46.73857456076914,4,Sì
1148,20,12.0,22.14221548098355,94.78105062156972,6,No
1149,47,55.0,21.09617381195281,16.18178890849194,9,No
1150,44,13.0,61.259979584257174,59.036753369662925,0,No
1151,43,23.0,24.540406751931584,51.08297920956213,9,No
1152,45,30.0,37.64338266590906,61.53396930803014,4,No
1153,29,17.0,81.73307279248094,2.7929081982632105,9,No
1154,43,62.0,47.90693122102979,87.34026698547099,1,No
1155,44,13.0,63.39461908168217,93.27970996587763,5,No
1156,29,59.0,23.77558969613039,56.94818517533169,0,No
1157,67,19.0,25.373121504693664,69.96843156381233,2,No
1158,47,49.0,13.25948930131831,92.32743873655227,4,No
1159,22,12.0,23.504805045773164,71.01662479702647,3,No
1160,49,61.0,32.27722712255669,16.101365248511875,2,No
1161,25,19.0,24.150838742139747,58.052547656514506,9,No
1162,51,9.0,17.08620270056445,61.06478959190273,4,No
1163,57,71.0,19.640869688048063,42.988936458936216,7,No
1164,27,28.0,46.852301442618064,73.90797932684757,3,No
1165,54,52.0,26.496697472463403,93.50233446213247,0,No
1166,46,16.0,39.131588883846035,92.63128277777086,6,No
1167,52,69.0,50.263381668388554,45.633097769009076,7,No
1168,68,12.0,65.22158629034922,12.21056653823477,2,Sì
1169,36,25.0,13.134971187287915,98.49927869727112,5,No
1170,28,52.0,73.9428319127234,84.05091055814748,1,No
1171,26,53.0,60.222031159272625,13.341605439123418,6,Sì
1172,27,23.0,16.530722555909755,92.16334637911986,7,No
1173,38,16.0,79.87628992854218,87.1197398441507,5,Sì
1174,45,57.0,83.65979204254505,52.36496765548114,5,No
1175,44,39.0,14.8762367883891,59.53626813874799,4,No
1176,52,53.0,32.1402118517763,40.5012676831429,7,Sì
1177,40,42.0,74.4861023834449,6.421402243381102,0,No
1178,61,58.0,69.85077523069266,34.184526922944194,9,No
1179,36,39.0,24.751681548510184,80.48249141120313,3,No
1180,80,14.0,26.737945866936826,1.458570277455683,3,Sì
1181,49,5.0,39.62776822331056,34.016417997423275,2,No
1182,27,35.0,48.75183881528171,40.41870066550339,2,No
1183,23,18.0,59.45038172242368,54.20216469085437,3,No
1184,47,9.0,39.50309116558179,92.06570602486329,0,No
1185,36,58.0,46.99277729065184,35.288253442230165,1,No
1186,50,17.0,69.78767505070051,35.34836698772654,8,No
1187,47,7.0,12.924656231247832,74.01262356286509,9,No
1188,38,46.0,30.18495554752166,45.769576148090906,1,No
1189,27,13.0,67.05796687076419,23.235877471058213,4,Sì
1190,17,40.0,81.60654701497594,45.791512097136646,8,No
1191,33,42.0,50.92419536925329,14.944845017600185,8,No
1192,52,9.0,52.559078821225256,18.462311664116108,7,No
